"materials","items","organization"
"OTHER ITEMS","1. Vessel Name","Abandoned and Derelict Vessels"
"OTHER ITEMS","2. State Vessel ID","Abandoned and Derelict Vessels"
"OTHER ITEMS","3. Length","Abandoned and Derelict Vessels"
"OTHER ITEMS","4. Hull Type","Abandoned and Derelict Vessels"
"OTHER ITEMS","5. Vessel Type","Abandoned and Derelict Vessels"
"OTHER ITEMS","6. Your Proximity to Vessel","Abandoned and Derelict Vessels"
"OTHER ITEMS","7. Habitat the Vessel is in?","Abandoned and Derelict Vessels"
"OTHER ITEMS","8. Vessel Status","Abandoned and Derelict Vessels"
"OTHER ITEMS","9. Vessel Color","Abandoned and Derelict Vessels"
"OTHER ITEMS","10. Vessel a hazard to navigation?","Abandoned and Derelict Vessels"
"OTHER ITEMS","11. Chemical or fuel leakage? ","Abandoned and Derelict Vessels"
"OTHER ITEMS","12. Other debris near the vessel?","Abandoned and Derelict Vessels"
"OTHER ITEMS","13. Vessel occupied?","Abandoned and Derelict Vessels"
"OTHER ITEMS","14. Take a photo and submit ","Abandoned and Derelict Vessels"
